Название,Сайт,Бесплатный тариф,Цена (мин. платный),Цена (руб/мес),Рейтинг,Рейтинг (число),Аудитория,Ключевые функции,Мобильное приложение,Интеграции,Русский интерфейс,Источник,Дата сбора,Найден в источниках
Аспро.Cloud,aspro.cloud,Да,"2090 руб/мес (Старт, до 5 пользователей)",2090,4.9 (92 отзыва),4.9,"Малый и средний бизнес, управление проектами и продажами","CRM, управление проектами, финансовый учет",N/A,"20 сервисов (JivoSite, Модульбанк, Точка, Новофон, Mango Office и др.)",Да,https://a2is.ru/catalog/planirovanie/aspro-cloud,2026-03-19,2
ПланФикс,planfix.ru,Да,от 360 ₽/мес,360,4.8 (143 отзыва),4.8,"Малый и средний бизнес, команды","Задачи сотрудникам, управление проектами, общение с клиентами, распределение заявок",N/A,Автоматизация и настраиваемые маршруты,Да,https://a2is.ru/catalog/spiski-lichnyh-del-i-zametki/planfix,2026-03-19,3
Битрикс24,bitrix24.ru,Да,2490 руб/мес (за всю компанию),2490,4.3 (146 отзывов),4.3,"Малый, средний и крупный бизнес любого направления","База клиентов, воронка продаж, задачи и напоминания, диаграмма Ганта, email-рассылка, аналитика, телефония, складской учет, мобильное приложение, соцсети, создание сайтов","Да (Android, iOS)","Соцсети, телефония, почта, 1С и др.",Да,https://a2is.ru/catalog/rejting-crm-sistem/bitriks24,2026-03-19,5
RetailCRM,retailcrm.ru,Да,"10400 руб/мес (Профессиональный, до 3 пользователей)",10400,4.5 (40 отзывов),4.5,Интернет-торговля,"CRM для интернет-торговли, автоматизация бизнес-процессов",Да,"51 сервис (Google Analytics, Яндекс.Метрика, Roistat, JivoSite, InSales, Sipnet и др.)",Да,https://a2is.ru/catalog/crm-sistemy-vse/retailcrm,2026-03-19,4
CRM Простой бизнес,prostoy.ru,Да,от 2 990 ₽/мес,2990,4.9 (30 отзывов),4.9,Малый и средний бизнес,"Управление всей компанией, больше чем просто CRM",N/A,"Реклама, формы, госорганы (ЭДО)",Да,https://a2is.ru/catalog/besplatnye-crm/prostoj-biznes,2026-03-19,2
S2,salesap.ru,Да,500 руб/мес (тариф Старт),500,4.7 (27 отзывов),4.7,Бизнес любого масштаба и сферы деятельности,"Продажи, сервис, коммуникации, документация, отчеты, аналитика, дашборды, управление задачами/проектами, финансы, телефония, производство, складской учет, бронирование","Да (Android, iOS)","150+ интеграций по API (1С, банки, сайт, почта, телефония)",Да,https://a2is.ru/catalog/crm-sistemy-vse/salesapcrm,2026-03-19,2
Мегаплан,megaplan.ru,Да,от 450 ₽/мес за пользователя,450,4.5 (18 отзывов),4.5,Малый и средний бизнес,"Управление компанией, CRM",N/A,"Звонки, письма, сообщения",Да,https://a2is.ru/catalog/crm-sistemy-vse/megaplan,2026-03-19,3
StecRealty,stecrealty.ru,Да,N/A,,3.5 (4 отзыва),3.5,Застройщики и агентства недвижимости,Облачная CRM для недвижимости,N/A,N/A,Да,https://a2is.ru/catalog/programmy-dlya-agentstva-nedvizhimosti/stecrealty,2026-03-19,1
KeepinCRM,keepincrm.com,Да,N/A,,5.0 (1 отзыв),5.0,Малый и средний бизнес,Онлайн CRM система,N/A,N/A,Да,https://a2is.ru/catalog/crm-sistemy-vse/keepincrm,2026-03-19,1
Cloff CRM,cloff.ru,Да,N/A,,5.0 (1 отзыв),5.0,Бизнес любого профиля,"Контроль бизнеса, экономия на оборудовании, оптимизация телефонии и бизнес-процессов",N/A,N/A,Да,https://a2is.ru/catalog/crm-sistemy-vse/cloff,2026-03-19,2
offlineCRM,offlinecrm.ru,Да (полностью бесплатная),Нет платных тарифов,,0 (0 отзывов),,"Малый бизнес, не требующий облачного доступа","Автономная CRM, работает без интернета, данные хранятся локально на ПК",Нет (десктоп),Нет (автономная система),Да,https://a2is.ru/catalog/besplatnye-crm/offlinecrm,2026-03-19,1
PARADOX CRM,N/A,Да,N/A,,0 (0 отзывов),,Учебные центры,"Учет учеников и оплат, расписание, контроль посещаемости, работа с родителями",N/A,Простая интеграция (детали не указаны),Да,https://a2is.ru/catalog/besplatnye-crm/paradox-crm,2026-03-19,1
РосБизнесСофт CRM,rbs-crm.ru,N/A,N/A,,N/A,,"Малый и средний бизнес; управление клиентами, поставщиками, автоматизация производства","Управление клиентами, поставщиками, автоматизация производства, сервисное обслуживание",N/A,N/A,Да,https://crmindex.ru/products/rosbiznesssoft,2026-03-19,1
BPM2B CRM,bpm2b.ru,N/A,N/A,,N/A,,Малый и средний бизнес,"Low-code платформа, автоматизация продаж, сервис, поддержка",N/A,N/A,Да,https://crmindex.ru/products/bpm2b,2026-03-19,1
SimpleOne B2B CRM,simpleone.ru,Нет,Индивидуальный расчёт,,"CNewsMarket: 2-е место, AI: 82 балла",,"B2B-компании, корпоративный маркетинг","Управление сложными B2B-продажами, корпоративный маркетинг, Low-code инструменты",N/A,"DaData, настраиваемый обмен данными через API",Да,https://crmindex.ru/products/simpleone_b2b,2026-03-19,3
Мой Класс,moyklass.com,N/A,N/A,,N/A,,"Школы, детские центры, тренинговые центры, творческие центры обучения","Календарь занятий, абонементы, оповещения Telegram/WhatsApp, телефония, интеграция с сайтом",N/A,"Telegram, WhatsApp, телефония",Да,https://crmindex.ru/products/moyklass,2026-03-19,1
ПроМастер,scsoft.ru,N/A,N/A,,N/A,,"Сервисные центры, мастерские","Учет заказов, база клиентов, складской учет, продажи, SMS-уведомления",N/A,N/A,Да,https://crmindex.ru/products/scsoft,2026-03-19,1
Salesforce,salesforce.com,Да (Salesforce Free CRM — базовые функции),$25/user/month (Starter Suite),25,3.7/5 (Expert Market),3.7,Large and expanding businesses,"Lead management, email integration, pipeline monitoring, AI lead scoring, 4000+ integrations, advanced analytics",Да,4000+ apps,Нет,https://www.expertmarket.com/crm/compare-pricing,2026-03-19,1
Zendesk,zendesk.com,Нет,$19/user/month,19,N/A,,Customer service-driven businesses,"Customer service CRM, support tickets, VoIP integration",N/A,N/A,Нет,https://www.expertmarket.com/crm/compare-pricing,2026-03-19,1
monday CRM,monday.com,Да (хранение и визуализация контактов),"$12/user/month (Basic, billed annually)",12,4.2/5 (Expert Market),4.2,Small to medium startups,"Lead management, customization, email integration, invoices, sales forecasting, 150+ integrations",Да (iOS и Android),150+ integrations (app store),Нет,https://www.expertmarket.com/crm/compare-pricing,2026-03-19,1
Zoho CRM,zoho.com,Да (до 3 пользователей),"$14/user/month (Standard, billed annually)",14,4.7/5 (Expert Market),4.7,Budget-conscious businesses,"Sales forecasting, calendar booking, lead scoring, custom dashboards, workflow automation, customizable layouts",Да,5-50 integrations (depends on plan),Нет,https://www.expertmarket.com/crm/compare-pricing,2026-03-19,2
Pipedrive,pipedrive.com,Нет,"$14/user/month (Lite, billed annually)",14,4.2/5 (Expert Market),4.2,Sales-focused businesses,"AI sales assistant, 36 preset workflow automations, custom pipelines, insights dashboards, e-signatures, lead scoring",Да,Third-party integrations (количество не указано),Нет,https://www.expertmarket.com/crm/compare-pricing,2026-03-19,1
Freshsales CRM,freshworks.com,Да ($0/user/month),$0/user/month (free plan available); платный от $39/user/month (mid-tier),39,3.0/5.0,3.0,Fast-growing businesses,"Task/deal/account management, Kanban boards, email templates, email sync, phone dialer, basic reports, website tracking, AI chatbot",N/A,N/A,Нет,https://www.expertmarket.com/crm/compare-pricing,2026-03-19,2
HubSpot,hubspot.com,Да (Free Tools — контакты и сделки),"$15/user/month (Starter Customer Platform, billed annually)",15,4.3/5 (Expert Market),4.3,Marketing and sales-driven businesses,"Bundle pricing (Marketing/Sales/Service Hubs), email marketing, automation, custom reporting, contact scoring",Да,"Multiple platforms (Marketing Hub, Sales Hub, Service Hub)",Нет,https://www.expertmarket.com/crm/compare-pricing,2026-03-19,2
SugarCRM,sugarcrm.com,Нет,$19/user/month (billed annually),19,N/A,,Businesses with specific workflows,"Sales ($19-$135/user/mo), Customer Service ($80/user/mo), Marketing ($1000/mo)",N/A,N/A,Нет,https://www.expertmarket.com/crm/compare-pricing,2026-03-19,1
Agile CRM,agilecrm.com,"Да (10 пользователей, 1000 контактов)",$14.99/пользователь/мес.,14,4.9/5.0,4.9,"End-to-end workflows, SMB","Lead scoring, email campaigns, landing page, email tracking, contact management, appointment scheduling, form builder, Kanban boards",N/A,1 интеграция на бесплатном тарифе,Нет,https://www.forbes.com/advisor/business/software/best-free-crms/,2026-03-19,1
Bigin by Zoho CRM,bigin.com,"Да (1 пользователь, 500 записей, 1 pipeline)",$9/пользователь/мес.,,4.1/5.0,4.1,Solopreneurs,"Automations (3), built-in phone, integrations, mobile apps, pipeline management",Да,"Да, включая сторонние VoIP-сервисы",Нет,https://www.forbes.com/advisor/business/software/best-free-crms/,2026-03-19,1
Capsule CRM,capsulecrm.com,"Да (2 пользователя, 250 контактов, 1 sales pipeline)",$21/пользователь/мес.,21,3.9/5.0,3.9,"Startups, integrations-focused teams","1000+ integrations via Zapier, API access, Gmail/Outlook integration, Kanban board, sales pipeline, task management",Да,"1000+ через Zapier, Gmail, Outlook, API",Нет,https://www.forbes.com/advisor/business/software/best-free-crms/,2026-03-19,1
YouGile CRM,https://ru.yougile.com/p/h260305/crm,"Да, до 10 пользователей без ограничений по функциям и сроку",от 495 ₽/мес за пользователя (с 11-го),495,N/A,,"Малый бизнес, ИП","Управление сделками, база клиентов, кастомные поля, корпоративный мессенджер, интеграции с мессенджерами, 50+ инструментов для сделок",Да (Android и iOS),"Мессенджеры, кроссплатформенность (веб, десктоп, мобильное)",Да,https://habr.com/ru/companies/yougile/articles/1006582/,2026-03-19,1
FreshOffice,https://www.freshoffice.ru/,Нет (демодоступ 14 дней),750 ₽/мес за пользователя,750,N/A,,Малый и средний бизнес,"CRM, почта, документы, аналитика, задачи, контроль исполнения, IP-телефония, связь рекламы с заявками",N/A,"Мессенджеры, соцсети, онлайн-чат, почта, IP-телефония",Да,https://habr.com/ru/companies/yougile/articles/1006582/,2026-03-19,1
Weeek,https://weeek.net/ru/services/crm,"Да, до 5 пользователей (с ограничениями по функциям)",от 199 ₽/мес за пользователя,199,N/A,,"Digital-команды, агентства, дизайнеры, продуктовые команды","Гибкие воронки, карточка клиента, CRM в связке с задачами, отчёты по продажам",N/A,Встроено в платформу управления задачами и проектами,Да,https://habr.com/ru/companies/yougile/articles/1006582/,2026-03-19,1
Envybox,https://envybox.io/products/envycrm/,Нет (пробный период 8 дней),720 ₽/мес за сотрудника,720,N/A,,"Лидогенерация, быстрые продажи","Сбор заявок в одном месте, история общения, лидогенерация из CRM",N/A,"Сайт, чаты, мессенджеры, телефония",Да,https://habr.com/ru/companies/yougile/articles/1006582/,2026-03-19,1
Первая Форма,https://1forma.ru/,Нет,от 990 ₽/мес за пользователя (облако),990,N/A,,"Бизнес с длинным циклом сделок, формализованные процессы","Low-code CRM, документооборот, маршруты согласований, омниканальные обращения, гибкая настройка процессов",N/A,"Сайт, мессенджеры, телефония, email",Да,https://habr.com/ru/companies/yougile/articles/1006582/,2026-03-19,1
amoCRM,https://www.amocrm.ru/,Нет (пробный период 14 дней),от 599 ₽/мес за пользователя,599,Топ-10 КП,,"Крупный бизнес, активные продажи","Воронки продаж, маркетплейс интеграций, API, автоматизации, фокус на карточках сделок",Да (урезанный функционал),"Мессенджеры, звонки, формы с сайта, маркетплейс интеграций",Да,https://habr.com/ru/companies/yougile/articles/1006582/,2026-03-19,3
SberCRM,https://sbercrm.com/,"Да, до 10 пользователей",от 80 ₽/мес за пользователя (Профессиональный тариф),80,Выбор редакции КП,,Крупный бизнес,"Напоминания, история взаимодействия, прогнозирование продаж, отраслевые решения",Да,Экосистема Сбера,Да,https://habr.com/ru/companies/yougile/articles/1006582/,2026-03-19,3
Платформа Кб,https://clientbase.ru/,Нет (пробный доступ 14 дней),от 1 590 ₽/мес за пользователя,1590,N/A,,Кастомизация процессов,"CRM/ERP-платформа, конструктор бизнес-логики, автоматизация, телефония, почта, связь CRM с задачами",N/A,"Телефония, почта",Да,https://habr.com/ru/companies/yougile/articles/1006582/,2026-03-19,1
AtomicCRM,https://marmelab.com/atomic-crm/,"Да, полностью бесплатно (open-source)",Бесплатно (затраты на хостинг и поддержку),,N/A,,"Open-source решения, разработчики","Клиенты, сделки, задачи, заметки, интеграция с другими сервисами, хранение данных на своём сервере",N/A,Интеграция с существующими сервисами,N/A,https://habr.com/ru/companies/yougile/articles/1006582/,2026-03-19,1
OdooCRM,https://www.odoo.com/ru_RU,"Да, Community-версия бесплатно (неограниченное число пользователей, один модуль)","от 11,90 €/мес за доп. модуль",11,N/A,,"Open-source, модульная система","CRM-модуль в экосистеме (продажи, склад, финансы, учёт), воронка и прогнозы",N/A,Модульная экосистема Odoo,Да (есть ru_RU-версия сайта),https://habr.com/ru/companies/yougile/articles/1006582/,2026-03-19,1
SuiteCRM,https://suitecrm.ru/,"Да, полностью бесплатно (open-source, без ограничений по числу пользователей)",Бесплатно (затраты на хостинг и настройку),,N/A,,"Open-source, корпоративные решения","Контакты, компании, сделки, задачи, календарь, автоматизация процессов, безопасность данных",N/A,Автоматизация сценариев и правил,Да (есть .ru сайт),https://habr.com/ru/companies/yougile/articles/1006582/,2026-03-19,1
EspoCRM,https://www.espocrm.com/,"Да, бесплатно на своём сервере (open-source)",от 15 $/мес за пользователя (облако),15,N/A,,"Open-source, гибкая настройка, разработчики","Планирование действий по сделкам, маркетинговые инструменты, рассылки, шаблоны",N/A,"Почта, шаблоны, массовые рассылки",N/A,https://habr.com/ru/companies/yougile/articles/1006582/,2026-03-19,1
HelloClient,helloclient.ru,Нет (пробный период 14 дней),788 руб. за 1 точку продаж,788,Топ-10 КП,,"Малый бизнес в сфере услуг (автомастерские, йога-студии, ремонт смартфонов)","Продажи, складской учет, финансовая аналитика, менеджмент сотрудников, онлайн-касса, начисление зарплаты",Да,Онлайн-кассы,Да,https://www.kp.ru/money/biznes/luchshie-crm-sistemy-dlya-malogo-biznesa/,2026-03-19,1
Brizo CRM,brizo.ru,Нет (пробный период 7 дней),9 588 руб./год за сотрудника (при разовой оплате),799,Топ-10 КП,,"Малый бизнес (продажи, финансы)","Продажи, финансовая аналитика, менеджмент сотрудников, воронка продаж, кассовые разрывы, календарь платежей, бюджетирование",Да (урезанный функционал),"IP-телефония, мессенджеры, планировщики",Да,https://www.kp.ru/money/biznes/luchshie-crm-sistemy-dlya-malogo-biznesa/,2026-03-19,1
Бизнес.ру,biznes.ru,Да (бессрочная с урезанным функционалом или 14 дней полного доступа),375 руб./мес (при оплате за год),31,Топ-10 КП,,Малый и средний бизнес (торговля),"Продажи, финансовая аналитика, складской учет, ЕГАИС, маркировка, кассы, онлайн-магазин, дисконтная система",Да,"ЕГАИС, системы обязательной маркировки, кассы",Да,https://www.kp.ru/money/biznes/luchshie-crm-sistemy-dlya-malogo-biznesa/,2026-03-19,1
WireCRM,wirecrm.com,Нет (пробный период 14 дней),499 руб./пользователь/мес,499,Топ-10 КП,,"Малый бизнес (продажи, складской учет)","Продажи, складской учет, финансовая аналитика, менеджмент персонала, конструктор модулей, личный кабинет клиента",Да (заточено под планшеты),Магазин модулей (около 100 бесплатных модулей),Да,https://www.kp.ru/money/biznes/luchshie-crm-sistemy-dlya-malogo-biznesa/,2026-03-19,2
LPTracker,lptracker.ru,Нет,1 200 руб./пользователь/мес,1200,Топ-10 КП,,Малый бизнес (агрессивные/телефонные продажи),"Продажи, голосовой бот, автозвонки, идентификация посетителей сайта, автораспределение задач",Нет (веб-версия в облаке),N/A,Да,https://www.kp.ru/money/biznes/luchshie-crm-sistemy-dlya-malogo-biznesa/,2026-03-19,1
Umnico,umnico.com,Нет (пробный период 3 дней),от 1 000 руб./мес за одну интеграцию,1000,Топ-10 КП,,Малый бизнес (продажи через соцсети),"Продажи, аналитика, агрегатор 25 соцсетей и мессенджеров, воронка продаж",Да (iOS и Android),25 соцсетей и мессенджеров,Да,https://www.kp.ru/money/biznes/luchshie-crm-sistemy-dlya-malogo-biznesa/,2026-03-19,1
EasyWeek,easyweek.io,Нет (пробный период 14 дней),от 500 руб./мес за человека,500,Топ-10 КП,,"Малый бизнес (сфера услуг, онлайн-запись)","Запись клиентов, аналитика, создание сайта, программы лояльности, расчет зарплаты",Да (iOS и Android),N/A,Да,https://www.kp.ru/money/biznes/luchshie-crm-sistemy-dlya-malogo-biznesa/,2026-03-19,1
Social CRM,socialcrm.ru,Нет,899 руб./пользователь/мес,899,Топ-10 КП,,Малый бизнес (продажи через соцсети),"Продажи, клиентская база, напоминания, виджет для соцсетей",Нет (веб-версия в облаке),Российские соцсети (ВКонтакте и др.),Да,https://www.kp.ru/money/biznes/luchshie-crm-sistemy-dlya-malogo-biznesa/,2026-03-19,1
BPMSoft (ex-Creatio/Terrasoft),N/A,Нет,"по запросу, ориентировочно 500К–5М ₽/год",42,UX: 8.5/10,4.2,Enterprise и верхний сегмент среднего бизнеса,"BPM-движок, ML-анализ тональности, прогнозирование, автоклассификация, предиктивный скоринг, low-code",N/A,"Сертификат ФСТЭК, PostgreSQL, Astra Linux",Да,https://vc.ru/services/2728606-obzor-crm-sistem-rossii-2026,2026-03-19,1
ELMA365,N/A,Нет,от 42 ₽/пользователь/мес (базовый) до 980 ₽/пользователь/мес (Enterprise),42,UX: 7.5/10,3.8,Enterprise и крупный средний бизнес,"Low-code платформа №1 в России, CRM-модуль в экосистеме (СЭД, BPMS, Service Desk), автоматизация процессов",N/A,"СЭД, BPMS, Service Desk, on-premise",Да,https://vc.ru/services/2728606-obzor-crm-sistem-rossii-2026,2026-03-19,1
Citeck ECOS,N/A,"Да, Community-версия (open-source LGPL)",Standard и Enterprise — по запросу,,CNewsMarket: 8-е место,,Enterprise и средний бизнес,"ECM + BPM + CRM, 20+ модулей (CRM, СЭД, Service Desk, договоры, Project Tracker), AI-ассистент на LLM",N/A,"ECM, BPM, Service Desk, управление договорами, open-source",Да,https://vc.ru/services/2728606-obzor-crm-sistem-rossii-2026,2026-03-19,1
1С:CRM,N/A,Нет,31 200 ₽ единовременно + 12 650 ₽/доп. место,31200,UX: 5.0/10,2.5,"Производство, торговля, компании с глубокой привязкой к 1С:ERP","Сквозной учёт с 1С:Бухгалтерией и 1С:ERP, iПомощники (YandexGPT, GigaChat, Claude), классификация писем 95%",N/A,"1С:Бухгалтерия, 1С:ERP, YandexGPT, GigaChat, Claude",Да,https://vc.ru/services/2728606-obzor-crm-sistem-rossii-2026,2026-03-19,1
YClients,N/A,Нет,от 694 ₽/мес,694,"UX: 8.0/10, приложение 4.7★",4.0,"Сфера услуг (салоны, клиники, фитнес), 55 000+ компаний","Запись онлайн, управление клиентами в сфере услуг, 20 млн записей в месяц",Да (4.7★),N/A,Да,https://vc.ru/services/2728606-obzor-crm-sistem-rossii-2026,2026-03-19,1
EstateCRM,N/A,Нет,от ~1 925 ₽/пользователь/мес,1925,N/A,,"Застройщики, девелоперы, агентства недвижимости","Шахматка объектов, динамическое ценообразование, публикация на ЦИАН/Авито/ДомКлик, ипотечное сопровождение, электронная регистрация","Да, с offline-режимом","ЦИАН, Авито, ДомКлик, BPMSoft (базовая платформа)",Да,https://vc.ru/services/2728606-obzor-crm-sistem-rossii-2026,2026-03-19,1
